f0:ec:af:cf:6c:e1,c9:a6:4d:9b:c0:8c,c2:b6:6e:70:fa:f7,d9:5f:f5:4f:10:89,c4:52:32:5c:31:e7,e9:3c:4a:34:13:fb,ed:61:e4:e8:22:30,ea:01:26:75:a4:c3,d0:4e:10:2e:cb:84,e4:e0:0a:ae:fd:e2,fa:35:76:56:6f:e3,d5:b7:dc:69:ca:ae,ca:81:7a:d7:55:49,e7:2b:ea:2f:95:c5,d4:32:fc:b5:f0:b5,id
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-96.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-83.0,-200.0,-200.0,-85.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-75.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-77.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,12.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.0,-200.0,-200.0,11.0
-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-64.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,15.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,19.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,21
-81.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,1.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-95.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,-200.0,10.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-79.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,22.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-86.0,-200.0,13.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-64.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-84.0,14.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-79.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-72.0,-200.0,-200.0,-200.0,-93.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,6.0
-200.0,-88.0,-200.0,-200.0,-72.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,6.0
-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,6.0
-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,5.0
-200.0,-200.0,-200.0,-200.0,-95.0,-200.0,-200.0,-200.0,-83.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,20
-200.0,-78.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-91.0,-200.0,-200.0,-200.0,-200.0,-78.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,8.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-83.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,19.0
-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-200.0,-200.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-200.0,3.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,21
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-77.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,12.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-65.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.0,-200.0,-200.0,11.0
-200.0,-76.0,-200.0,-200.0,-84.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-200.0,-200.0,-78.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-76.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,1.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,10
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-86.0,-200.0,13.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-93.0,-200.0,-200.0,-200.0,-66.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-83.0,-200.0,-200.0,-200.0,19.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,22.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,14.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-79.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,5.0
-71.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,15.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-65.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-79.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200.0,-80.0,-200.0,-200.0,-85.0,-200.0,-200.0,-200.0,-94.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-92.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,8.0
-200.0,-200.0,-200.0,-200.0,-93.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-78.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,12.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-63.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,4
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-80.0,-200.0,-200.0,11.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,19.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,23
-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,1.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,10.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-70.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-87.0,-200.0,13.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-84.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-88.0,-200.0,-200.0,-84.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,22.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,14.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-84.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-200.0,-93.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,5.0
-200.0,-200.0,-200.0,-200.0,-96.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-64.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-62.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-92.0,-200.0,-200.0,-200.0,19.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-96.0,-200.0,-200.0,-200.0,23.0
-71.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,15.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-94.0,-200.0,-65.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-200.0,-200.0,-200.0,-87.0,-200.0,-200.0,-200.0,-73.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-68.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,12.0
-200.0,-82.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-84.0,-200.0,-200.0,11.0
-86.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,1.0
-88.0,-200.0,-200.0,-200.0,-200.0,-84.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,8.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,21
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,10.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-74.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-85.0,-200.0,-200.0,-200.0,19.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,13.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,14.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,5.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-69.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-79.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200.0,-88.0,-200.0,-200.0,-87.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,22.0
-200.0,-200.0,-200.0,-200.0,-84.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-71.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,12.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-84.0,-200.0,-200.0,-200.0,19.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-72.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.0,-200.0,-200.0,11.0
-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-81.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-65.0,-200.0,-200.0,-200.0,-200.0,7.0
-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,1.0
-200.0,-200.0,-200.0,-200.0,-96.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-86.0,-200.0,10.0
-65.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,15.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-96.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,14.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,13
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,5
-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-73.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-87.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,8.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,19.0
-200.0,-79.0,-200.0,-200.0,-84.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,22.0
-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-200.0,-200.0,-75.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200.0,-200.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-78.0,-200.0,-200.0,-80.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-80.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,12.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,21
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-73.0,-200.0,-200.0,11.0
-200.0,-200.0,-200.0,-200.0,-90.0,-200.0,-200.0,-200.0,-66.0,-200.0,-87.0,-200.0,-200.0,-200.0,-200.0,9.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,1
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,10.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-96.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-82.0,-200.0,-200.0,-83.0,-200.0,-200.0,-200.0,19.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-75.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,18.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-83.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-85.0,-200.0,-91.0,-91.0,-200.0,-200.0,-200.0,16.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,14
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-70.0,-200.0,-200.0,-200.0,-200.0,7.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,13.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-83.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,20.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,5
-200.0,-88.0,-200.0,-200.0,-80.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,2.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-62.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,21.0
-68.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,15.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-200.0,-200.0,-200.0,-200.0,4.0
-200.0,-200.0,-200.0,-200.0,-81.0,-200.0,-200.0,-200.0,-58.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,9.0
-91.0,-200.0,-200.0,-200.0,-200.0,-88.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,8.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-94.0,-200.0,-200.0,-200.0,23.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,-200.0,-200.0,-200.0,-200.0,3.0
-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-85.0,-200.0,-200.0,-89.0,-200.0,-200.0,-200.0,19.0
-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,22
